Tamanio de datos,T promedio [s]
1000,0.00428927
2000,0.0165674
3000,0.0381241
4000,0.0651998
5000,0.102158
6000,0.148479
7000,0.217606
8000,0.262747
9000,0.326979
10000,0.406744
