Tamanio de datos,T promedio [s]
1000,0.00062744
2000,0.00113845
3000,0.00183274
4000,0.00241299
5000,0.00309256
6000,0.00407937
7000,0.00487617
8000,0.00534513
9000,0.00597085
10000,0.00652245
