Tamanio de datos,T promedio [s]
1000,0.00363737
2000,0.0151648
3000,0.0327119
4000,0.0563402
5000,0.0899504
6000,0.125843
7000,0.16735
8000,0.245025
9000,0.281075
10000,0.350651
