Tamaño de datos,T promedio [s]
1000,7.7e-06
2000,1.5355e-05
3000,2.3095e-05
4000,3.0655e-05
5000,3.855e-05
6000,4.9125e-05
7000,6.0675e-05
8000,6.6905e-05
9000,7.2625e-05
10000,8.3795e-05
