Tamanio de datos,T promedio [s]
1000,0.00096978
2000,0.00327932
3000,0.00752353
4000,0.0140693
5000,0.0204678
6000,0.0296474
7000,0.0377133
8000,0.0523224
9000,0.0660897
10000,0.0851864
