Tamanio de datos,T promedio [s]
1000,0.000254585
2000,0.000489555
3000,0.000761095
4000,0.00094964
5000,0.0015621
6000,0.00183416
7000,0.00175949
8000,0.00310112
9000,0.00230822
10000,0.00292669
