Tamanio de datos,T promedio [s]
1000,0.000643085
2000,0.00133679
3000,0.00232563
4000,0.00341031
5000,0.00395602
6000,0.00483794
7000,0.00527383
8000,0.00596172
9000,0.00672767
10000,0.00731371
