Tamanio de datos,T promedio [s]
1000,0.00184353
2000,0.00741679
3000,0.0163041
4000,0.0311295
5000,0.045264
6000,0.0699047
7000,0.0895149
8000,0.128575
9000,0.150967
10000,0.184784
