Tamanio de datos,T promedio [s]
1000,0.00021295
2000,0.00042153
3000,0.00067636
4000,0.00086664
5000,0.001065
6000,0.00132849
7000,0.00183968
8000,0.00207482
9000,0.00222303
10000,0.0026594
